Unique ID,Name,Age,ID Number,Date of Entry,Occupation,Account Date,Account Number,Account Type,Account Balance
BM001,Alice,41,92862955,2019-09-16,Teacher,2021-09-17,6791832522,Joint_Account,3739.56
BM002,Bob,55,63824667,2019-10-07,Lawyer,2021-08-08,6112875601,Business,8898.27
BM003,Charlie,22,98056077,2020-03-27,Nurse,2022-10-19,3619784984,Current,9598.72
BM003,Charlie,22,98056077,2020-03-27,Nurse,2020-07-24,0815523749,Business,4524.6
BM003,Charlie,22,98056077,2020-03-27,Nurse,2021-06-03,4964696684,Business,560.65
BM004,Diana,31,16961761,2015-12-06,Doctor,2018-10-24,0381251227,Current,9057.76
BM005,Edward,54,30603931,2020-01-01,Lawyer,2020-03-30,0145353510,Business,1026.01
BM006,Fiona,57,93177663,2017-10-14,Engineer,2021-11-22,0245369338,Current,7544.45
BM007,George,49,16556545,2018-09-05,Scientist,2023-03-03,5755086235,Current,7043.76
BM008,Hannah,54,29181956,2017-09-21,Artist,2021-11-27,2635058248,Joint_Account,2853.26
BM009,Ian,31,63485232,2020-09-10,Designer,2019-02-23,4439272970,Business,263.53
BM010,Julia,33,01349057,2016-12-09,Lawyer,2019-12-11,3180178814,SACCO_Savings,6772.06
BM011,Kevin,25,93315863,2020-07-23,Lawyer,2021-07-02,1178338000,Business,3802.97
BM012,Laura,43,04620285,2016-12-24,Scientist,2018-09-26,3531003653,Savings,7620.6
BM012,Laura,43,04620285,2016-12-24,Scientist,2019-04-20,4232946959,Savings,4085.88
BM012,Laura,43,04620285,2016-12-24,Scientist,2022-10-24,4641222087,Current,7394.08
BM013,Michael,64,96458213,2015-04-06,Lawyer,2018-08-03,0106327999,Business,390.31
BM013,Michael,64,96458213,2015-04-06,Lawyer,2022-01-05,4699231413,Joint_Account,4275.32
BM014,Nina,54,58206922,2020-12-27,Clerk,2021-04-05,3782647848,Current,3989.43
BM015,Oscar,69,06506590,2017-01-21,Manager,2023-07-15,5436998033,Business,8198.63
BM016,Paula,24,38383499,2017-01-07,Doctor,2020-03-25,1948586687,Joint_Account,8046.6
BM016,Paula,24,38383499,2017-01-07,Doctor,2020-03-14,9742990685,Joint_Account,1645.84
BM016,Paula,24,38383499,2017-01-07,Doctor,2023-03-15,2750142903,Current,8484.6
BM017,Quentin,67,34904740,2015-10-08,Lawyer,2022-10-25,1609596573,Business,1368.5
BM018,Rachel,41,73318173,2017-05-27,Designer,2020-11-24,0611485743,Savings,228.04
BM018,Rachel,41,73318173,2017-05-27,Designer,2021-11-21,9528252336,Savings,5038.73
BM019,Steven,32,43488454,2015-03-29,Artist,2021-06-16,8021684005,Business,1609.82
BM019,Steven,32,43488454,2015-03-29,Artist,2022-09-15,5861081057,Joint_Account,7045.67
BM020,Tina,58,43244402,2019-10-15,Lawyer,2018-06-19,8304668537,Current,9904.62
